ticker,date,open,close,cash,shares,equity,daily_return,cumulative_return,drawdown,decision_action,raw_action,position_pct,executed_action,trade_quantity,trade_price,commission
AMZN,2022-10-06,120.77,120.3,100000.0,0,100000.0,0.0,0.0,0.0,HOLD,HOLD,0.0,HOLD,0,,0.0
AMZN,2022-10-07,118.0,114.56,100000.0,0,100000.0,0.0,0.0,0.0,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-08,118.0,114.56,100000.0,0,100000.0,0.0,0.0,0.0,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-09,118.0,114.56,100000.0,0,100000.0,0.0,0.0,0.0,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-10,115.1,113.67,100000.0,0,100000.0,0.0,0.0,0.0,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-11,112.71,112.21,100000.0,0,100000.0,0.0,0.0,0.0,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-12,112.49,112.9,100000.0,0,100000.0,0.0,0.0,0.0,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-13,107.88,112.53,100000.0,0,100000.0,0.0,0.0,0.0,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-14,114.1,106.9,100000.0,0,100000.0,0.0,0.0,0.0,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-15,114.1,106.9,100000.0,0,100000.0,0.0,0.0,0.0,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-16,114.1,106.9,100000.0,0,100000.0,0.0,0.0,0.0,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-17,110.11,113.79,100000.0,0,100000.0,0.0,0.0,0.0,HOLD,HOLD,0.0,HOLD,0,,0.0
AMZN,2022-10-18,119.06,116.36,100000.0,0,100000.0,0.0,0.0,0.0,BUY,BUY,100.0,HOLD,0,,0.0
AMZN,2022-10-19,114.71,115.07,1459.9009000000078,859,100305.0309,0.003050309000000029,0.003050309000000029,0.0,BUY,BUY,100.0,BUY,859,114.71,4.2091
AMZN,2022-10-20,113.83,115.25,92.95090000000778,871,100475.70090000001,0.0017015098691326447,0.004757009000000201,0.0,BUY,BUY,100.0,BUY,12,113.83,0.99
AMZN,2022-10-21,114.792,119.32,92.95090000000778,871,104020.67090000001,0.03528186385609966,0.04020670900000023,0.0,BUY,BUY,100.0,HOLD,0,,0.0
AMZN,2022-10-22,114.792,119.32,92.95090000000778,871,104020.67090000001,0.0,0.04020670900000023,0.0,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-23,114.792,119.32,92.95090000000778,871,104020.67090000001,0.0,0.04020670900000023,0.0,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-24,119.98,119.82,92.95090000000778,871,104456.17090000001,0.00418666786353139,0.044561709000000116,0.0,BUY,BUY,100.0,HOLD,0,,0.0
AMZN,2022-10-25,119.65,120.6,92.95090000000778,871,105135.5509,0.0065039718969823745,0.051355508999999966,0.0,BUY,BUY,100.0,HOLD,0,,0.0
AMZN,2022-10-26,116.0,115.66,92.95090000000778,871,100832.81090000001,-0.04092564278369126,0.008328109000000028,-0.04092564278369126,BUY,BUY,100.0,HOLD,0,,0.0
AMZN,2022-10-27,113.92,110.96,92.95090000000778,871,96739.1109,-0.04059888803516443,-0.03260889099999997,-0.07986299522971352,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-10-28,97.905,103.41,85363.93800000001,0,85363.93800000001,-0.11758608068828125,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,SELL,871,97.905,4.2679
AMZN,2022-10-29,97.905,103.41,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-30,97.905,103.41,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-10-31,103.56,102.44,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-01,103.99,96.79,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-02,97.315,92.12,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-03,92.47,89.3,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-04,91.49,90.98,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-05,91.49,90.98,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-11-06,91.49,90.98,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,HOLD,,0.0,HOLD,0,,0.0
AMZN,2022-11-07,91.95,90.53,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-08,90.79,89.98,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
AMZN,2022-11-09,89.47,86.14,85363.93800000001,0,85363.93800000001,0.0,-0.14636061999999994,-0.18805829931690587,SELL,SELL,-100.0,HOLD,0,,0.0
